Key;TC;SC;EN
briefingMoodLabel;情緒;情绪;Mood
briefinginstruction;遊戲說明：遊戲的目的是說明大家分別有效的情緒管理方法。玩家可以操作貪食蛇拾取不同的態度/價值觀，以及避開障礙物，儘量讓貪食蛇存活得更久。;游戏说明：游戏的目的是说明大家分别有效的情绪管理方法。玩家可以操作贪食蛇拾取不同的态度/价值观，以及避开障碍物，尽量让贪食蛇存活得更久。;Instruction: The purpose of the game is to illustrate effective emotional management methods for everyone. Players can control the snake to pick up different attitudes/values, and avoid obstacles to try to keep the snake alive as long as possible.
ReadyLabel;準備開始>;准备开始>;Starting In>
Score label;分數：;分数：;Score:
Food list label;  已收集：;  已收集：;  Collected:
GameOverText;遊戲結束;游戏结束;Game Over
PlayerNameLabel;玩家:;玩家:;Player:
Result-score;分數: ;分数: ;Score: 
Result-time;存活時間： ;存活时间： ;Alive time: 
result-Total Score;總分數: ;总分数: ;Total: 
CollectedFoodLabel;拾取記錄：;拾取记录：;Collected Record: 
retryBtnLabel;再來一局;再来一局;Play Again
menuBtnLabel;菜單;菜单;Menu
